Dim1,Dim1Type,TimeDimensionValue,Value,SpatialDimType,SpatialDim
BTSX,SEX,2000,1006 [880-1143],COUNTRY,AUT
BTSX,SEX,2000,1011 [806-1215],COUNTRY,LBR
BTSX,SEX,2000,1015 [915-1115],COUNTRY,HND
BTSX,SEX,2000,1018 [893-1145],COUNTRY,PNG
BTSX,SEX,2000,1030 [813-1260],COUNTRY,SRB
BTSX,SEX,2000,1043 [888-1221],COUNTRY,BGR
BTSX,SEX,2000,10794 [8701-12887],COUNTRY,TZA
BTSX,SEX,2000,11 [8-15],COUNTRY,SYC
BTSX,SEX,2000,1104 [575-2121],COUNTRY,LBY
BTSX,SEX,2000,110427 [87306-133551],WORLDBANKINCOMEGROUP,WB_LI
BTSX,SEX,2000,116 [82-146],COUNTRY,CYP
BTSX,SEX,2000,1167008 [986526-1359990],REGION,GLOBAL
BTSX,SEX,2000,1177 [893-1461],COUNTRY,CAF
BTSX,SEX,2000,1190 [966-1415],COUNTRY,JOR
BTSX,SEX,2000,1193 [946-1441],COUNTRY,SSD
BTSX,SEX,2000,1202 [1049-1368],COUNTRY,NLD
BTSX,SEX,2000,121 [89-160],COUNTRY,SUR
BTSX,SEX,2000,1210 [1054-1367],COUNTRY,TJK
BTSX,SEX,2000,12141 [9899-13911],COUNTRY,KOR
BTSX,SEX,2000,1224 [1081-1367],COUNTRY,BOL
BTSX,SEX,2000,128 [107-148],COUNTRY,TLS
BTSX,SEX,2000,1293 [1128-1476],COUNTRY,HUN
BTSX,SEX,2000,129834 [118741-141642],REGION,EUR
BTSX,SEX,2000,13 [9-19],COUNTRY,TON
BTSX,SEX,2000,134 [106-162],COUNTRY,GNQ
BTSX,SEX,2000,13791 [10176-17407],COUNTRY,BGD
BTSX,SEX,2000,138058 [127055-149635],REGION,AMR
BTSX,SEX,2000,14028 [13297-14783],COUNTRY,MEX
BTSX,SEX,2000,1432 [1140-1725],COUNTRY,SLE
BTSX,SEX,2000,146 [121-172],COUNTRY,COM
BTSX,SEX,2000,1478 [1236-1721],COUNTRY,HTI
BTSX,SEX,2000,1481 [1200-1762],COUNTRY,TGO
BTSX,SEX,2000,149498 [136524-162175],WORLDBANKINCOMEGROUP,WB_HI
BTSX,SEX,2000,1532 [1336-1742],COUNTRY,CZE
BTSX,SEX,2000,15911 [15018-16596],COUNTRY,JPN
BTSX,SEX,2000,16 [10-24],COUNTRY,FSM
BTSX,SEX,2000,16300 [12020-20581],COUNTRY,ETH
BTSX,SEX,2000,167 [129-221],COUNTRY,MKD
BTSX,SEX,2000,1712 [1521-1915],COUNTRY,BEL
BTSX,SEX,2000,1713 [1399-2141],COUNTRY,ECU
BTSX,SEX,2000,172 [140-209],COUNTRY,TTO
BTSX,SEX,2000,1753 [1537-1987],COUNTRY,CUB
BTSX,SEX,2000,1758 [1520-2022],COUNTRY,BLR
BTSX,SEX,2000,17588 [14688-19548],COUNTRY,IRN
BTSX,SEX,2000,178132 [135743-206738],COUNTRY,IND
BTSX,SEX,2000,17950 [14332-21569],COUNTRY,COD
BTSX,SEX,2000,18 [14-23],COUNTRY,MLT
BTSX,SEX,2000,18 [7-44],COUNTRY,STP
BTSX,SEX,2000,185 [129-245],COUNTRY,QAT
BTSX,SEX,2000,1873 [1641-2117],COUNTRY,AUS
BTSX,SEX,2000,191 [158-228],COUNTRY,MUS
BTSX,SEX,2000,19251 [16956-21546],COUNTRY,VNM
BTSX,SEX,2000,1936 [1496-2374],COUNTRY,BDI
BTSX,SEX,2000,1952 [1578-2326],COUNTRY,BEN
BTSX,SEX,2000,196 [146-256],COUNTRY,GUY
BTSX,SEX,2000,196823 [156065-236978],REGION,AFR
BTSX,SEX,2000,197 [166-229],COUNTRY,DJI
BTSX,SEX,2000,19780 [14667-24263],COUNTRY,ZAF
BTSX,SEX,2000,19857 [16287-23428],COUNTRY,PAK
BTSX,SEX,2000,1994 [1762-2245],COUNTRY,PRT
BTSX,SEX,2000,2114 [1573-2583],COUNTRY,SLV
BTSX,SEX,2000,2119 [1805-2469],COUNTRY,KAZ
BTSX,SEX,2000,2178 [1731-2626],COUNTRY,KHM
BTSX,SEX,2000,2200 [1968-2442],COUNTRY,GRC
BTSX,SEX,2000,2252 [1754-2750],COUNTRY,TCD
BTSX,SEX,2000,2302 [2039-2564],COUNTRY,TUN
BTSX,SEX,2000,2413 [2042-2828],COUNTRY,UZB
BTSX,SEX,2000,2431 [2007-2854],COUNTRY,SEN
BTSX,SEX,2000,2453 [1881-3025],COUNTRY,SOM
BTSX,SEX,2000,24570 [22166-26974],COUNTRY,THA
